user_id	talk_id	bookmark_time
1	10446	08/07/2016 15:58:15
1	10522	08/20/2016 18:20:53
1	10523	08/20/2016 18:20:46
1	10558	09/05/2016 16:08:01
1	10572	09/24/2016 19:56:24
1	10581	09/07/2016 02:00:29
1	10620	09/22/2016 19:02:34
1	10626	09/12/2016 14:05:26
1	10631	09/21/2016 14:52:04
1	10636	09/15/2016 00:48:06
1	10665	09/20/2016 19:26:48
1	10676	09/22/2016 12:02:50
2	10522	08/20/2016 09:57:43
2	10562	09/02/2016 11:28:04
2	10572	09/23/2016 15:06:50
2	10591	09/20/2016 12:31:30
2	10612	09/23/2016 15:06:22
2	10636	09/20/2016 12:24:01
2	10664	09/22/2016 09:50:34
2	10681	09/23/2016 15:06:42
21	10517	08/14/2016 17:16:31
21	10532	09/05/2016 10:39:32
21	10620	09/21/2016 21:00:54
21	10636	09/21/2016 20:58:47
1496	10699	11/01/2016 16:44:13
1634	10657	09/25/2016 15:25:02
1634	10699	09/25/2016 13:12:52
1717	10522	08/29/2016 14:26:16
1765	10522	08/20/2016 09:55:42
1765	10523	09/04/2016 13:25:02
1765	10552	09/01/2016 23:33:45
1765	10631	09/13/2016 14:29:59
2155	10634	09/14/2016 15:09:15
2418	10523	09/05/2016 22:27:25
2418	10534	09/07/2016 23:04:01
2418	10572	09/27/2016 08:22:26
2418	10626	09/19/2016 11:39:10
2418	10695	09/27/2016 08:24:14
3186	10662	09/19/2016 08:50:34
3302	10665	09/21/2016 18:54:18
3395	10522	10/08/2016 16:45:18
3423	10465	09/01/2016 00:25:28
3423	10546	09/05/2016 11:54:27
3423	10548	09/07/2016 13:21:27
3423	10570	09/13/2016 15:42:48
3423	10589	09/07/2016 13:25:28
3423	10620	09/22/2016 20:10:33
3423	10636	09/20/2016 00:18:18
3423	10662	09/20/2016 00:17:47
3423	10665	09/20/2016 21:22:29
3425	10507	09/15/2016 16:22:32
3425	10534	09/08/2016 23:45:24
3425	10548	09/08/2016 23:45:01
3425	10562	09/06/2016 16:58:54
3425	10565	09/05/2016 09:08:57
3425	10578	09/28/2016 20:22:19
